     182       368       366
     177       362       361
   27411     27410     27596
   27594     27409     27408
   23015     22830     23013
   23198     23015     23013
   23015     23198     23201
   18758     18569     18756
     184       357       367
     178       362       177
     362       178       363
     178       179       363
     169       170       353
     170       354       353
     172       356       355
   30957     30781     30953
   27410     27226     27224
   27411     27226     27410
   29086     28899     29084
   29637     29452     29450
   27594     27595     27409
   27410     27595     27596
   27595     27410     27409
   16484     16289     16473
   16670     16484     16473
    7914      8077      8078
    8239      8402      8240
    8402      8403      8240
   23565     23384     23567
   23565     23562     23381
   23384     23565     23381
   23384     23385     23567
   23198     23385     23201
   23385     23384     23201
   20638     20635     20821
   20635     20638     20453
   20271     20273     20088
   14842     14701     14844
   15271     15274     15413
   15254     15115     15256
     185       371       357
     184       185       357
     368       183       367
     183       184       367
     183       368       182
     167       168       351
     166       349       165
     181       182       366
     171       354       170
     171       172       355
     354       171       355
     176       177       361
     173       356       172
     111       112       294
   31328     31140     31329
   31139     31328     31327
   31328     31139     31140
   31140     31141     31329
   30781     30817     30711
   30817     30781     30957
   31135     30957     30953
   31137     31135     30953
   31133     31135     31324
   31135     31133     30957
   30771     30586     30585
   29270     29086     29084
   29635     29637     29450
   30223     30051     30042
   30610     30781     30711
   30770     30774     30595
   30781     30774     30953
   30774     30610     30595
   30610     30774     30781
   30952     30770     30954
   30952     31137     30953
   30774     30952     30953
   30952     30774     30770
   27598     27411     27596
   27595     27782     27596
   27598     27782     27783
   27782     27598     27596
   27226     27039     27224
   28899     28898     29084
   28710     28896     28897
   28896     29082     28897
   29268     29082     29081
   29082     28896     29081
   28342     28526     28527
   29265     29268     29081
   29265     29452     29268
   29452     29265     29450
   29265     29263     29450
   29452     29454     29268
   16289     16277     16473
   16068     16289     16067
   16277     16068     16069
   16068     16277     16289
   16810     16888     16996
   16888     16810     16687
   16671     16670     16856
   16888     16671     16856
   16671     16888     16687
   16670     16671     16484
   16671     16486     16484
   16486     16671     16687
   16070     16071     16258
   17274     17242     17443
   16261     16077     16078
   16074     16256     16073
   16076     16259     16075
    8077      8242      8078
    9052      9053      8892
    4344      4519      4345
    8403      8241      8240
    8241      8403      8404
    8242      8241      8404
    8241      8242      8077
    8241      8076      8240
    8076      8241      8077
    8891      9052      8892
    8729      8891      8892
    8891      8729      8728
    8566      8403      8402
    9688      9847      9689
   27038     27039     26854
   27039     27038     27224
   27223     27410     27224
   27410     27223     27409
   27038     27223     27224
   27223     27038     27037
   19815     20001     20012
   19626     19815     19630
   19307     19492     19498
   19492     19307     19300
   19599     19414     19498
   18111     17926     18015
   20051     20244     20056
   21001     21004     20821
   23196     23198     23013
   23555     23557     23371
   23383     23380     23566
   23383     23196     23380
   23383     23385     23198
   23196     23383     23198
   23557     23373     23371
   20635     20449     20632
   20449     20446     20632
   20446     20449     20263
   20449     20635     20453
   23556     23559     23740
   15119     15122     15261
   15673     15676     15812
   15535     15676     15673
   15676     15535     15538
   15259     15119     15261
   15411     15271     15413
   15411     15550     15409
   15400     15540     15538
   15400     15259     15261
   15400     15261     15403
   15540     15400     15403
   15407     15405     15265
   15405     15407     15545
   21150     21153     20965
   18942     18758     18756
   18942     19128     19130
   14559     14701     14556
   14698     14555     14556
   14841     14698     14842
   14701     14698     14556
   14698     14701     14842
   15276     15134     15136
   15134     15276     15274
   15131     14989     14991
   15271     15131     15274
   15134     15131     14991
   15131     15134     15274
   14847     14848     14989
   14848     14850     14991
   14989     14848     14991
   15113     15115     15254
   14677     14818     14675
   14251     14396     14394
   14115     14117     14261
   14263     14117     14119
   14117     14263     14261
   14698     14697     14555
   14697     14698     14841
   14263     14406     14261
   14406     14404     14261
   14404     14406     14548
   14406     14263     14408
   14543     14400     14544
   14257     14255     14111
   14255     14257     14400
   14828     14830     14970
   14832     14830     14688
    9151      9311      9312
    9311      9150      9310
    9150      9311      9151
    9152      9151      9312
    9838      9680      9678
   15659     15657     15797
     185       186       371
     186       187       334
     371       186       334
     352       169       353
     169       352       168
     168       352       351
     354       544       353
     181       365       180
     365       181       366
     553       362       363
     555       553       363
    3126      3305      3128
     167       350       166
     350       349       166
     350       167       351
     176       360       175
     360       176       361
     356       547       355
     590       425       428
    1443      1435      1252
    1435      1443      1623
    1848      1849      2030
    3290      3467      3287
    2654      2834      2837
     507       219       220
     219       507       504
     502       720       718
     720       502       504
    1103      1292      1290
    1292      1103      1105
     913       716       718
     716       913       910
     913      1103       910
    1103       913      1105
    4514      4516      4340
    9518      9676      9678
    8714      8875      8877
   11235     11237     11390
   31139     30955     31140
   30955     31139     30954
   30568     30755     30569
   30817     30755     30711
   30755     30568     30711
   31323     31133     31324
   31134     31323     31322
   31323     31134     31133
   31326     31325     31137
   31135     31325     31324
   31325     31135     31137
   31326     31138     31327
   31138     31139     31327
   31138     31326     31137
   31139     31138     30954
   31138     30952     30954
   30952     31138     31137
   30586     30404     30585
   30589     30770     30595
   30769     30586     30771
   30769     30955     30954
   30955     30769     30771
   30770     30769     30954
   30589     30769     30770
   30769     30589     30586
   31321     31320     31136
   30755     30756     30569
   29643     29458     29642
   29828     29643     29642
   30011     30009     30195
   30009     30194     30195
   30194     30009     30007
   30382     30568     30569
   30385     30382     30569
   30381     30194     30379
   30194     30381     30195
   30381     30382     30195
   30382     30381     30568
   29820     29635     29633
   29818     29820     29633
   30051     30069     29894
   29631     29818     29633
   30051     29872     30042
   29872     30051     29894
   29263     29078     29076
   29078     29265     29081
   29265     29078     29263
   29263     29448     29450
   29448     29635     29450
   29635     29448     29633
   30192     30287     30379
   30194     30192     30379
   30192     30194     30007
   30287     30192     30130
   30610     30445     30595
   30287     30445     30379
   27782     27781     27967
   27781     27782     27595
   27967     27781     27966
   27781     27595     27594
   28714     28898     28899
   28898     28711     28897
   28711     28710     28897
   28896     28894     29081
   28894     29078     29081
   28709     28710     28524
   28894     28709     28707
   28710     28709     28896
   28709     28894     28896
   29083     29270     29084
   29082     29083     28897
